,mean,mean_se,mean_ci_lower,mean_ci_upper
2023-12-01,254877.0277330444,15674.375649278201,224155.8159803075,285598.2394857813
2024-01-01,255302.50722662453,22786.776390581792,210641.2461773166,299963.76827593247
2024-02-01,254908.07642439328,27693.1532166273,200630.4935014542,309185.6593473323
2024-03-01,255273.72426429202,32226.294189280175,192111.34829811045,318436.10023047356
2024-04-01,254934.75899569152,35887.62163399404,184596.31310226273,325273.2048891203
2024-05-01,255248.98881132292,39470.15227363677,177888.9118906831,332609.06573196274
